ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
LULU,100.30000305175781,2026-12-10,86,False,False,0.1168087143080604,0.12282991587397657,0.6820662656028824,0.43848217773437503,2026-10-09,-0.35712671942982255,137.0,0.12935323383084565,False
ACN,195.0,2026-10-01,16,False,False,0.09663150953671405,0.10224971178139884,0.3931583284656718,0.5652509295654298,2026-10-09,0.4377183150904156,32.0,0.6370370370370372,False
ADBE,265.6000061035156,2026-12-09,85,False,False,0.0834832477017065,0.08819373333874903,0.4593273479566886,0.44180856048583983,2026-10-09,-0.03814009235195959,37.0,0.20689655172413793,False
EXPE,287.8599853515625,2026-11-05,51,False,False,0.13474412660199084,0.1425688089782428,0.4727526194732031,,,,3.0,0.26760563380281693,False
INTU,339.1499938964844,2026-11-19,65,False,False,0.07336076374936905,0.07724825123814075,0.45042307402461124,0.5179949324035644,2026-10-09,0.15001864308412638,2.0,0.27078384798099764,False
DECK,80.54000091552734,2026-10-22,37,False,False,0.11469110168485899,0.12184679717296777,0.3376519153755867,0.46484910156250003,2026-10-09,0.3767109866544831,18.0,0.23157894736842097,False
PTC,136.64999389648438,2026-11-11,57,False,False,0.04536173150864442,0.047671582876035505,0.45427871919949336,0.5299119274902344,2026-10-16,0.16649075797347068,11.0,0.2666666666666666,False
RMD,222.99000549316406,2026-10-29,44,False,False,0.05060481042825189,0.053418646130684894,0.33452201731973225,0.33014585876464847,2026-10-16,-0.013081825196878172,191.0,0.2184873949579832,False
ADSK,228.92999267578125,2026-11-27,73,False,False,0.047396503191320105,0.05005589927429507,0.5081364546168827,0.45837943969726563,2026-10-09,-0.09792057717475156,1.0,0.541871921182266,False
PAYX,118.51000213623047,2026-09-23,8,True,True,0.05110844452503156,0.053705174642911836,0.27417185631661917,0.3929504064941407,2026-10-16,0.43322663300770614,175.0,0.28571428571428575,False
CPRT,31.729999542236328,2026-11-19,65,False,False,0.052567762936698195,0.055869611172454564,0.43770657079706055,0.36133451171875,2026-10-16,-0.17448232257340257,1385.0,0.3492063492063492,False
