ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
LULU,98.37000274658203,2026-12-10,85,False,False,0.11894590168426684,0.1250644517769243,0.6693738249550067,0.551457122192383,2026-10-09,-0.17615971579191914,19.0,0.19895287958115185,False
ACN,193.39999389648438,2026-10-01,15,False,False,0.09746639936740575,0.10313532465582817,0.39474100147856234,0.5606428213500976,2026-10-09,0.42028018181573445,29.0,0.39416058394160575,False
ADBE,257.760009765625,2026-12-09,84,False,False,0.08606192630706355,0.09092106198356897,0.4684908423393361,0.4169675003051758,2026-10-09,-0.10997726610169467,38.0,0.12477718360071301,False
INTU,329.2699890136719,2026-11-19,64,False,False,0.07546105842096737,0.07945525827048713,0.4594814204552767,0.5233507138061523,2026-10-09,0.13900299447927789,6.0,0.16999999999999993,False
EXPE,293.0799865722656,2026-11-05,50,False,False,0.13224413923261752,0.13991687722598026,0.4746634332733265,0.4801077380371094,2026-10-09,0.011469821313679907,1.0,0.21686746987951794,False
DECK,77.51000213623047,2026-10-22,36,False,False,0.11972844450126477,0.12723786885825666,0.3352838713253537,0.40601179931640624,2026-10-09,0.21094938957686815,10.0,0.40740740740740744,False
PTC,132.75,2026-11-11,56,False,False,0.04658606085774183,0.0489469402652483,0.45789374802533644,0.5828899133300782,2026-10-16,0.2729807206230417,21.0,0.5222929936305734,False
ADSK,226.5,2026-11-27,72,False,False,0.04791048085007074,0.050599400066184866,0.5088554862986232,0.6174354663085937,2026-10-09,0.2133807788922022,2.0,0.4493392070484581,False
RMD,229.44000244140625,2026-10-29,43,False,False,0.049180564535678,0.051914476966273104,0.33950042643224604,0.30402307312011717,2026-10-16,-0.10449870029606301,261.0,0.06711409395973154,False
CPRT,31.040000915527344,2026-11-19,64,False,False,0.05387768870420255,0.057281453653586764,0.4432560652950997,0.42090422851562503,2026-10-16,-0.05042646571478682,1883.0,0.5,False
PAYX,118.30000305175781,2026-09-23,7,True,True,0.05118787912483011,0.05379289309270395,0.27351820426064316,0.4166928448486328,2026-10-16,0.5234556177897194,180.0,0.19819819819819814,False
WM,217.25,2026-10-26,40,False,False,0.0402548366549122,0.04243717260371844,0.14522055507236675,0.2145159115600586,2026-10-16,0.4771731966811472,706.0,0.14035087719298245,False
ULTA,544.3200073242188,2026-12-03,78,False,False,0.04557615617676478,0.047780280573611396,0.37532969394399807,,,,27.0,0.2572614107883817,False
ROL,33.77000045776367,2026-10-28,42,False,False,0.03560925544147957,0.03748795890767721,0.22962247258872714,0.2888254711914062,2026-10-16,0.25782754595068114,487.0,0.0869565217391305,False
IDXX,510.7300109863281,2026-11-02,47,False,False,0.030861084506443648,0.03255733489249,0.2659741503806027,0.35095863891601564,2026-10-16,0.319521609200752,38.0,0.47678018575851394,False
DXCM,86.44999694824219,2026-10-29,43,False,False,0.041347174354277184,0.04372447280866079,0.29847873386633267,,,,1.0,1.0315789473684212,False
ISRG,377.1600036621094,2026-10-20,34,False,False,0.019696947614204482,0.020838134532717514,0.324873605371434,0.4466608068847656,2026-10-09,0.3748756424028048,6.0,0.4565217391304349,False
MNST,44.630001068115234,2026-11-05,50,False,False,0.051132404683036516,0.05421872633539835,0.2635219345964863,0.33435724243164056,2026-10-16,0.2688023216876412,228.0,0.7301587301587301,False
QCOM,187.8000030517578,2026-10-29,43,False,False,0.03638696784566732,0.038302393499164436,0.37163151827215957,0.5035450036621093,2026-10-09,0.3549577441742833,1.0,0.1976284584980237,False
FFIV,430.8800048828125,2026-10-26,40,False,False,0.03293319243995983,0.03488353656165786,0.37830688898823256,0.3974517042541504,2026-10-16,0.050606573190141724,8.0,0.21325648414985585,False
AVGO,339.2699890136719,2026-12-09,84,False,False,0.019627799365551618,0.02069181303923836,0.40224119605450714,0.3609988217163086,2026-10-09,-0.10253145312497991,321.0,0.06451612903225806,False
VRTX,514.6300048828125,2026-11-02,47,False,False,0.026255580888897616,0.027786920798330374,0.3083861829304731,,,,2.0,0.3582766439909296,False
CDNS,273.9599914550781,2026-10-26,40,False,False,0.013345127329145405,0.014098091392808767,0.37539290824094756,,,,8.0,0.28373702422145325,False
PM,194.11000061035156,2026-10-21,35,False,False,0.0418143911621223,0.04400085157694105,0.2208717228970971,0.29492892578124996,2026-10-09,0.33529508400971575,3.0,0.24598930481283432,False
AMAT,421.1700134277344,2026-11-12,57,False,False,0.015530523915604805,0.016395129372093146,0.49640452342087743,0.5115100119018555,2026-10-09,0.030429796201052906,119.0,0.15180265654648956,False
WST,365.0,2026-10-22,36,False,False,0.016654997956286232,0.017585419039616548,0.19468099871699562,0.321372142791748,2026-10-16,0.6507627601547343,0.0,0.33502538071065996,False
AAPL,331.3399963378906,2026-10-29,43,False,False,0.026575382740704596,0.028039820412377188,0.2156132649601689,0.24719991088867185,2026-10-09,0.14649676556003222,192.0,0.0383561643835618,False
GRMN,278.9700012207031,2026-10-28,42,False,False,0.02623526691974475,0.02776635754891743,0.2308454355419488,0.3164130859375,2026-10-16,0.3706707485667482,49.0,0.3815028901734105,False
MSFT,497.1199951171875,2026-10-28,42,False,False,0.015654024374420126,0.01652874889000533,0.22499721179800883,0.26552553329467776,2026-10-09,0.1801281054676056,54.0,0.1105527638190955,False
FTNT,172.3699951171875,2026-11-04,49,False,False,0.024205586974293525,0.025594612926539445,0.5333887719754928,0.5085498364257813,2026-10-09,-0.0465681635136721,24.0,0.38139534883720944,False
META,670.239990234375,2026-10-28,42,False,False,0.009644150394461277,0.010171904805920635,0.33427933352245875,0.38498539825439454,2026-10-09,0.15168770440464296,71.0,0.04255319148936163,False
MPWR,1142.4599609375,2026-10-29,43,False,False,0.007251122022233217,0.007665415480669048,0.41797415124160836,,,,14.0,0.17589576547231267,False
CTAS,198.9499969482422,2026-09-23,7,True,True,0.02238985953411612,0.023589440886450718,0.14971344313828416,0.36691917266845697,2026-10-09,1.4508097935437152,1.0,0.3551401869158878,False
FAST,49.40999984741211,2026-10-14,28,False,False,0.021200913355018027,0.02237365987904395,0.21695093196139734,0.37695935546875003,2026-10-16,0.7375327778533047,10480.0,0.3908045977011495,False
LRCX,270.8699951171875,2026-10-21,35,False,False,0.014167448268303847,0.014965456310321926,0.5852111643706078,0.5479476358032227,2026-10-09,-0.06367535487376064,51.0,0.14161490683229822,False
KEYS,313.3599853515625,2026-11-24,69,False,False,0.024695897017086597,0.02606415317251873,0.44797407596484623,0.39783317016601566,2026-10-16,-0.11192814158015085,31.0,0.18348623853211007,False
ANET,192.83999633789062,2026-11-03,48,False,False,0.02033404029728025,0.02147506375412322,0.5009127231896638,0.49612930633544927,2026-10-09,-0.009549401787511402,6.0,0.09302325581395343,False
GOOGL,344.9800109863281,2026-10-28,42,False,False,0.006465017772366277,0.006836100159124474,0.2561815110344353,0.2964395307922363,2026-10-09,0.1571464685146211,113.0,0.07936507936507936,False
