ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
ADBE,252.22999572753906,2026-12-09,88,False,False,0.08797693044640482,0.09294442962833212,0.43543035651904194,0.4650322052001954,2026-10-09,0.06798296957933592,1047.0,0.1551724137931035,False
EQT,54.06999969482422,2026-10-20,38,False,False,0.08824178951238672,0.09197665235720658,0.21796430189746524,,,,832.0,0.12195121951219505,False
ADSK,212.39999389648438,2026-11-27,76,False,False,0.052351240746494825,0.05536744985780455,0.4546258883230787,0.4526727096557617,2026-10-09,-0.00429623283117786,205.0,0.13953488372093015,False
