ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
LULU,95.9800033569336,2026-12-10,84,False,False,0.12169278506105397,0.12794039346553837,0.6711199007211132,0.4917043017578126,2026-10-09,-0.267337622935216,3.0,0.10989010989010989,False
ACN,189.63999938964844,2026-10-01,14,False,False,0.09948520038253508,0.10527557039047074,0.39502798779331755,0.5410812493896485,2026-10-09,0.3697288954441058,29.0,0.3401360544217687,False
ADBE,250.5,2026-12-09,83,False,False,0.08859651406916616,0.09359823149142049,0.47059882500629097,0.4386347640991211,2026-10-09,-0.06792210096729956,86.0,0.40332640332640335,False
INTU,318.1300048828125,2026-11-19,63,False,False,0.077981646685313,0.08209899913290335,0.46836999326598966,0.5176439837646485,2026-10-09,0.10520313258128788,22.0,0.2741116751269035,False
EXPE,286.9700012207031,2026-11-05,49,False,False,0.1351820697351314,0.14303024580663817,0.45702981426150946,,,,3.0,0.26950354609929084,False
DECK,77.95999908447266,2026-10-22,35,False,False,0.11894842323984633,0.12641833219059195,0.3359851732845108,0.48291532714843755,2026-10-09,0.4373114218927363,15.0,0.6813186813186812,False
PTC,131.16000366210938,2026-11-11,55,False,False,0.04710350671534189,0.04949169258052141,0.4566619207950743,0.5629926513671876,2026-10-16,0.23284343565801469,,,
ADSK,220.30999755859375,2026-11-27,71,False,False,0.04927051685072466,0.05203642208003216,0.5132400180153543,0.5977518252563476,2026-10-09,0.1646633237365076,4.0,0.6042553191489363,False
RMD,228.25,2026-10-29,42,False,False,0.04943705055356554,0.05218509574790421,0.3242998093105996,0.3049385913085937,2026-10-16,-0.059701601561728435,,,
PAYX,116.72000122070312,2026-09-23,6,True,True,0.05182806395772851,0.05445765867140187,0.2751414366757945,0.3790345300292968,2026-10-16,0.3775988619115991,,,
CPRT,30.81999969482422,2026-11-19,63,False,False,0.05431496164657401,0.05775223330811984,0.4440200290070976,0.3630434790039062,2026-10-16,-0.18237139028225458,,,
WM,214.0,2026-10-26,39,False,False,0.04085259195558509,0.04306709479667598,0.15028946091725312,0.22693644165039065,2026-10-16,0.5099957127089443,,,
ULTA,530.52001953125,2026-12-03,77,False,False,0.046612158600422136,0.04885881596117574,0.37927821702507086,0.36328761718749997,2026-10-09,-0.04216060696286672,32.0,0.27929373996789725,False
ROL,33.529998779296875,2026-10-28,41,False,False,0.03585379136028996,0.03773534556080592,0.2291144631903812,0.4426325268554688,2026-10-16,0.9319274771740014,,,
IDXX,513.6199951171875,2026-11-02,46,False,False,0.030688856530142427,0.03237610662837626,0.24144156681401396,0.34632001342773433,2026-10-16,0.4343843854132614,,,
DXCM,87.33999633789062,2026-10-29,42,False,False,0.04091561591973309,0.04325919384554973,0.29977776720434784,0.5236864038085938,2026-10-09,0.746915419019768,1.0,0.9130434782608696,False
MNST,44.56999969482422,2026-11-05,49,False,False,0.05121083792086992,0.0543069218590299,0.26235505971221623,0.32971861694335935,2026-10-16,0.2567648487703491,,,
QCOM,184.83999633789062,2026-10-29,42,False,False,0.036939775910364146,0.03888220437275752,0.32518815552639085,0.4959156854248047,2026-10-09,0.5250115263947808,38.0,0.24145785876993167,False
