ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
LULU,101.63999938964844,2026-12-10,76,False,False,0.11537784021566022,0.1213225073987642,0.6805011906577323,0.4143124975585938,2026-10-16,-0.39116565371745526,6.0,0.17840375586854465,False
ACN,177.41000366210938,2026-10-01,6,True,True,0.10667717258793148,0.11290778750144104,0.43450718996129106,,,,2.0,0.16309012875536485,False
ADBE,238.92999267578125,2026-12-09,75,False,False,0.09839762794393786,0.10397731471489008,0.4670018703902353,0.39902334381103516,2026-10-16,-0.1455637137435788,54.0,0.3346303501945526,False
INTU,277.1300048828125,2026-11-19,55,False,False,0.08890387383918796,0.09356368630009627,0.4974543831210121,,,,76.0,0.2926829268292684,False
EXPE,261.75,2026-11-05,41,False,False,0.1488161494394019,0.15748722557371322,0.4840925094071893,,,,30.0,0.22545454545454555,False
PAYX,101.58999633789062,2026-12-18,84,False,False,0.050653661783356625,0.053180171135974626,0.3891892596914017,0.340826904296875,2026-10-16,-0.12426436287803644,,,
DECK,78.68000030517578,2026-10-22,27,False,False,0.11771778104191626,0.12510886848764302,0.3490211595290656,0.3702455554199219,2026-10-16,0.060811201015704475,1.0,0.25454545454545463,False
CPRT,28.040000915527344,2026-11-19,55,False,False,0.060486394022646765,0.06436466470648938,0.46148174119153096,0.3505924316406249,2026-10-16,-0.24028970087655777,,,
ADSK,211.35000610351562,2026-11-27,63,False,False,0.05138147019898817,0.0542665518071296,0.49702279662339394,,,,2.0,0.6347305389221557,False
PTC,137.41000366210938,2026-11-11,47,False,False,0.04513154437102131,0.04742795789067023,0.4417901485604157,0.5679974841308594,2026-10-16,0.2856725890826073,,,
RMD,221.88999938964844,2026-10-29,34,False,False,0.05085466952591953,0.05368368500609073,0.26077735404599245,0.3009408285522461,2026-10-16,0.15401442603474735,,,
WM,207.9600067138672,2026-10-27,32,False,False,0.0420114396044284,0.04428764120660021,0.14602900174601727,0.213875048828125,2026-10-16,0.4646066621759819,,,
ROL,30.399999618530273,2026-10-28,33,False,False,0.03934254965127019,0.041404461398334584,0.2804771279921363,0.36011382080078125,2026-10-16,0.28393293021339594,,,
ULTA,548.780029296875,2026-12-03,69,False,False,0.045250880376634356,0.0474421545155001,0.36666074242733676,0.3280554255676269,2026-10-16,-0.10528892895415576,1.0,0.5263157894736842,False
IDXX,513.3900146484375,2026-11-02,38,False,False,0.03070256399518772,0.03239066936360512,0.24494789343517687,0.36017485534667965,2026-10-16,0.4704141778708397,,,
DXCM,87.47000122070312,2026-10-29,34,False,False,0.04084963080508115,0.043196770393824434,0.23451797938320224,,,,2.0,1.1666666666666667,False
MNST,42.66999816894531,2026-11-05,41,False,False,0.05368112120158052,0.05694697552606955,0.2486244972232084,0.27222407470703125,2026-10-16,0.0949205639323456,,,
QCOM,194.25999450683594,2026-11-04,40,False,False,0.03523480456078053,0.037094201381079064,0.41319376734766144,0.4874929180908204,2026-10-16,0.17981672671418503,35.0,0.06808510638297878,False
ISRG,399.5199890136719,2026-10-20,25,False,False,0.01855270526713338,0.019624577327789213,0.3057983130282284,0.35852692260742186,2026-10-16,0.17242936711140744,4.0,0.36274509803921584,False
AVGO,350.3599853515625,2026-12-09,75,False,False,0.01902088703833764,0.020052529585597112,0.3738221853285035,0.3379887979125976,2026-10-16,-0.09585677047074281,500.0,0.024179620034542288,True
FFIV,446.54998779296875,2026-10-26,31,False,False,0.031709056322637146,0.033582290101918454,0.39288261314516965,0.40331102066040037,2026-10-16,0.026543316416441698,,,
VRTX,522.3800048828125,2026-11-02,38,False,False,0.025848108695229476,0.027354730119394422,0.257244055193505,0.3387364710998535,2026-10-16,0.31679027857435993,6.0,0.4074074074074074,False
PM,191.5,2026-10-21,26,False,False,0.04235246161132856,0.04456541129607184,0.2228232244635582,0.2704540728759765,2026-10-16,0.21376069988704494,1.0,0.32061068702290074,False
AAPL,335.9200134277344,2026-10-29,34,False,False,0.02621572741001336,0.02766060160379,0.2027178927063545,0.22522747436523435,2026-10-16,0.11103894855243945,236.0,0.05128205128205128,False
WST,373.6000061035156,2026-10-22,27,False,False,0.016269640327231074,0.017178417360369447,0.22457134221006547,0.2793956338500977,2026-10-16,0.24412861899693872,,,
MSFT,497.92999267578125,2026-10-28,33,False,False,0.01562839664831134,0.01650166135844882,0.21100890221443738,0.2432784413146973,2026-10-16,0.15292975207020443,350.0,0.09595959595959588,False
