ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
LULU,98.97000122070312,2026-12-10,87,False,False,0.11827552442821039,0.12436232340701761,0.6796892976064958,0.4177304321289062,2026-10-09,-0.38540972529664563,2762.0,0.09523809523809523,True
ACN,183.89999389648438,2026-10-01,17,False,False,0.1030915038860452,0.10915430384297586,0.36111799343026935,0.5283860638427734,2026-10-09,0.46319505938660166,3169.0,0.1078838174273858,False
ADBE,252.22999572753906,2026-12-09,86,False,False,0.08797693044640482,0.09294442962833212,0.43543035651904194,0.4735770416259766,2026-10-09,0.08760685729835282,1047.0,0.1551724137931035,False
INTU,321.57000732421875,2026-11-19,66,False,False,0.07718554819001815,0.08126514266833909,0.42382059558192675,0.5042774182128906,2026-10-09,0.18983698166081964,600.0,0.155688622754491,False
EXPE,280.8299865722656,2026-11-05,52,False,False,0.1382643180396062,0.14629742923478664,0.4670913187115289,,,,221.0,0.23321554770318026,False
ADSK,212.39999389648438,2026-11-27,74,False,False,0.052351240746494825,0.05536744985780455,0.4546258883230787,0.46097340789794927,2026-10-09,0.013962072415814042,205.0,0.13953488372093015,False
PTC,130.77999877929688,2026-11-11,58,False,False,0.04722857272672418,0.04962208880069326,0.43532000703377294,0.5640912731933594,2026-10-16,0.2958082883371729,10.0,0.5263157894736842,False
DECK,81.2699966430664,2026-10-22,38,False,False,0.11415399170114811,0.1213344399555983,0.343802700419406,,,,1233.0,0.17543859649122806,False
RMD,218.27000427246094,2026-10-29,45,False,False,0.0516989963369132,0.054575337312653745,0.3307394306047257,0.3119880813598632,2026-10-16,-0.056695233497189745,191.0,0.17073170731707324,False
CPRT,29.950000762939453,2026-11-19,66,False,False,0.05611499851989933,0.05966466289242059,0.4083549682573583,0.37695935546875003,2026-10-16,-0.07688314145555275,1266.0,0.29787234042553196,False
PAYX,115.80000305175781,2026-09-23,9,True,True,0.052204235807810646,0.054853882639104005,0.2659675493603932,0.4088804229736328,2026-10-16,0.5373319939102377,55.0,0.27160493827160487,False
WM,213.4600067138672,2026-10-26,42,False,False,0.0404826262147946,0.0426518537800446,0.12851538455681652,0.2321854125976562,2026-10-16,0.8066740678428836,967.0,0.08130081300813008,True
ROL,34.72999954223633,2026-10-28,44,False,False,0.034673591364750844,0.03649671247418399,0.1888969821495391,0.2876047802734375,2026-10-16,0.5225483064930969,468.0,0.08333333333333341,False
ULTA,546.780029296875,2026-12-03,80,False,False,0.04539606479557297,0.04759333796263399,0.3932686636254072,,,,2.0,0.2741116751269035,False
IDXX,504.70001220703125,2026-11-02,49,False,False,0.03122558397199261,0.03294244383616933,0.26880633333288867,0.3708711595153808,2026-10-16,0.37969650832629553,9.0,0.5407166123778502,False
DXCM,83.02999877929688,2026-10-29,45,False,False,0.04310629357187121,0.04558265355305642,0.45521015974721385,,,,1184.0,0.19047619047619047,False
MNST,43.400001525878906,2026-11-05,52,False,False,0.05270652250587973,0.055898150997621736,0.2675023155756608,0.32202826416015623,2026-10-16,0.2038335573550325,51.0,0.36734693877551017,False
QCOM,181.97000122070312,2026-10-29,45,False,False,0.03759101043525192,0.0395722839562355,0.3717837481707126,0.48505153625488284,2026-10-09,0.30466040713581943,851.0,0.07407407407407413,True
