ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
LULU,101.30000305175781,2026-12-10,75,False,False,0.11573506154384036,0.12170516657913491,0.6803591486736054,0.4721732470703125,2026-10-23,-0.30599412385232394,10.0,0.6440677966101694,False
ADBE,235.47000122070312,2026-12-09,74,False,False,0.09986985625116618,0.10554117292323559,0.446207874107859,0.394262649230957,2026-10-23,-0.11641485480452463,51.0,0.1559633027522935,False
ACN,176.11000061035156,2026-10-01,5,True,True,0.10750652652117589,0.11378439333015883,0.43388843175797964,0.5522200540161134,2026-10-23,0.2727236164806035,77.0,0.12844036697247713,False
INTU,275.7900085449219,2026-11-19,54,False,False,0.08931174560164999,0.0939940978671805,0.4301960513487452,0.5024463818359376,2026-10-23,0.1679474515413939,77.0,0.30036630036630035,False
EXPE,264.1700134277344,2026-11-05,40,False,False,0.1473891842636448,0.15597943071843762,0.47917569527776727,0.4977162045288086,2026-10-23,0.03869250764126053,2.0,0.2567567567567567,False
PAYX,101.37000274658203,2026-12-18,83,False,False,0.05075333796031858,0.053284806801960766,0.354629119000737,,,,,,
ADSK,209.39999389648438,2026-11-27,62,False,False,0.05186453363134164,0.05477919592461273,0.48417978667210215,0.5134631173706056,2026-10-23,0.060480283367002174,6.0,0.5645933014354068,False
DECK,78.66999816894531,2026-10-22,26,False,False,0.11773543455783737,0.12512880858897793,0.33082212772246194,,,,1.0,0.23999999999999985,False
CPRT,27.59000015258789,2026-11-19,54,False,False,0.06162691012033256,0.06559639671651332,0.45994336220426496,0.36304347900390627,2026-11-20,-0.2106778598477188,,,
PTC,138.1199951171875,2026-11-11,46,False,False,0.044919431031423714,0.04720420234892361,0.42080561419368506,0.47842928802490237,2026-11-20,0.13693656141359067,,,
RMD,222.0,2026-10-29,33,False,False,0.05083053744753318,0.05365679405089889,0.2604005229479744,,,,,,
WM,206.8300018310547,2026-10-27,31,False,False,0.042234770471135184,0.044521904871256054,0.14494373953502712,0.2234879898071289,2026-11-20,0.5418947415325983,,,
