ticker,price,next_earnings,days_to_earnings,badge_numbers_stale,badge_event_window,fcf_yield_strike_95,fcf_yield_strike_90,hv_30d,iv_atm,iv_expiry,iv_vs_hv,gate_oi,gate_spread_pct,gate_pass
LULU,102.27999877929688,2026-12-10,77.0,False,False,0.1147029596614115,0.12062515201626482,0.6870704627498829,0.4284114776611328,2026-10-16,-0.3764664603009005,6.0,0.2376237623762376,False
ADBE,240.69000244140625,2026-12-09,76.0,False,False,0.09766024348563426,0.10320290662793023,0.46923182442748806,0.4118711157226562,2026-10-16,-0.1222438584058485,51.0,0.14035087719298245,False
ACN,183.52000427246094,2026-10-01,7.0,True,True,0.10296192269185656,0.108961650520763,0.4234486536545248,0.5314377911376953,2026-10-16,0.2550229798847694,2.0,0.3755458515283842,False
INTU,286.79998779296875,2026-11-19,56.0,False,False,0.08605988673761339,0.09058135394287826,0.4915352715121293,0.47849032257080076,2026-10-16,-0.026539191991650668,79.0,0.17105263157894735,False
EXPE,259.0400085449219,2026-11-05,42.0,False,False,0.15044367182666193,0.1592178256050623,0.48892677430442455,0.4964039617919921,2026-10-16,0.015293062030004467,1.0,0.24203821656050958,False
PAYX,104.48999786376953,,,False,False,0.05734206503186931,0.06022858097437941,0.38384870161633006,0.316840327758789,2026-10-16,-0.17456975515451456,,,
DECK,78.58999633789062,2026-10-22,28.0,False,False,0.11787685352731217,0.12526856747032197,0.36017210947472167,0.3841614318847656,2026-10-16,0.06660516397294103,1.0,0.17475728155339795,False
CPRT,28.864999771118164,2026-11-19,56.0,False,False,0.0585217911135402,0.06225478899486678,0.454320956698928,0.40357041748046873,2026-10-16,-0.1117063575213656,,,
PTC,140.39999389648438,2026-11-11,48.0,False,False,0.04424591811470862,0.04650148594340724,0.4383125256071903,0.558170922241211,2026-10-16,0.27345418994810156,,,
RMD,222.3000030517578,2026-10-29,35.0,False,False,0.05076068375757068,0.053584322856218086,0.2683030352679787,0.31128618408203124,2026-10-16,0.16020373668572674,,,
ADSK,217.14999389648438,2026-11-27,64.0,False,False,0.049994597395827595,0.05280373473166271,0.49426248833359065,0.5153857055664063,2026-10-16,0.042736840709948876,5.0,0.7772020725388601,False
WM,207.8800048828125,2026-10-26,32.0,False,False,0.042025977806541055,0.04430379776361846,0.14617771109175504,0.1948322705078125,2026-10-16,0.3328452679459266,,,
ROL,32.4900016784668,2026-10-28,34.0,False,False,0.036934504119662565,0.03888393068989044,0.21539954875062298,0.3461979443359375,2026-10-16,0.6072361634180825,,,
ULTA,543.8099975585938,2026-12-03,70.0,False,False,0.045613274756857405,0.047819376508812385,0.36785211190398437,0.3528507098388672,2026-10-16,-0.04078106820556415,1.0,0.4615384615384615,False
IDXX,522.02001953125,2026-11-02,39.0,False,False,0.03019979144838276,0.03186043033234244,0.24443458225094197,0.32901671966552737,2026-10-16,0.3460317956472767,,,
DXCM,87.7300033569336,2026-10-29,35.0,False,False,0.040728369623067875,0.04306119714184443,0.2428836691525181,,,,2.0,0.6666666666666666,False
MNST,43.90999984741211,2026-11-05,42.0,False,False,0.05204915224233884,0.0551897092040659,0.2357443212628983,0.2834544311523437,2026-10-16,0.20238073873363782,,,
ISRG,398.29998779296875,2026-10-20,26.0,False,False,0.01861175390241662,0.01968722932586616,0.3111018925714666,0.39069212829589844,2026-10-16,0.2558333382885105,4.0,0.31632653061224486,False
